Date,Price,Open,High,Low,Volume,ChangePct
2022-12-12,86.55,85.12,86.6,84.8,5350000.0,2.41
2022-12-13,87.15,88.0,88.37,86.0,7180000.0,0.69
2022-12-14,87.05,87.46,88.61,86.34,6110000.0,-0.11
2022-12-15,85.81,86.9,87.05,85.48,6470000.0,-1.42
2022-12-16,84.14,84.6,84.86,83.27,16950000.0,-1.95
2022-12-19,83.52,83.98,84.28,82.96,5680000.0,-0.74
2022-12-20,83.52,83.4,84.04,82.75,4810000.0,0.0
2022-12-21,84.65,83.85,84.95,83.65,5360000.0,1.35
2022-12-22,83.34,84.54,84.54,82.16,4490000.0,-1.55
2022-12-23,84.17,83.0,84.27,83.0,3250000.0,1.0
2022-12-27,84.0,84.1,84.28,83.47,4730000.0,-0.2
2022-12-28,83.16,84.2,84.54,82.97,3540000.0,-1.0
2022-12-29,84.08,83.73,84.69,83.49,3380000.0,1.11
2022-12-30,83.6,83.95,84.02,82.47,4270000.0,-0.57
2023-01-03,83.83,84.37,84.9,82.54,5540000.0,0.28
2023-01-04,84.49,84.36,85.46,83.83,4830000.0,0.79
2023-01-05,82.63,83.61,84.01,82.14,5470000.0,-2.2
2023-01-06,83.65,83.56,84.37,82.82,5240000.0,1.23
2023-01-09,84.07,83.64,84.93,83.49,4750000.0,0.5
2023-01-10,84.54,84.07,84.6,83.37,4920000.0,0.56
2023-01-11,85.0,84.47,85.36,84.22,6150000.0,0.54
2023-01-12,85.07,85.1,85.67,84.39,4650000.0,0.08
2023-01-13,84.68,84.44,84.97,83.75,4940000.0,-0.46
2023-01-17,85.74,85.19,86.47,85.18,8410000.0,1.25
2023-01-18,83.8,85.93,86.04,83.73,6110000.0,-2.26
2023-01-19,82.59,84.06,84.34,82.29,7100000.0,-1.44
2023-01-20,81.82,82.51,82.54,80.5,9430000.0,-0.93
2023-01-23,82.67,81.38,83.22,80.9,6860000.0,1.04
2023-01-24,83.9,82.79,84.2,80.28,6650000.0,1.49
2023-01-25,76.59,80.53,80.99,75.9,28530000.0,-8.71
2023-01-26,76.4,75.1,77.45,74.8,18510000.0,-0.25
2023-01-27,75.58,76.07,76.4,75.51,13240000.0,-1.07
2023-01-30,75.05,75.36,76.35,74.89,10670000.0,-0.7
2023-01-31,74.63,74.54,74.83,73.35,19020000.0,-0.56
2023-02-01,74.24,74.62,75.04,73.34,15190000.0,-0.52
2023-02-02,75.6,73.57,76.84,73.21,18600000.0,1.83
2023-02-03,74.67,75.25,75.44,73.67,11670000.0,-1.23
2023-02-06,75.51,74.6,75.57,74.45,9340000.0,1.12
2023-02-07,76.08,75.37,76.58,74.75,10860000.0,0.75
2023-02-08,75.03,75.98,76.15,74.86,9080000.0,-1.38
2023-02-09,73.27,75.2,75.94,73.12,13160000.0,-2.35
2023-02-10,74.74,73.42,75.25,73.42,9880000.0,2.01
2023-02-13,75.62,75.34,76.01,75.16,8109999.999999999,1.18
2023-02-14,76.03,75.29,76.33,74.8,7090000.0,0.54
2023-02-15,76.94,75.65,77.09,75.65,9350000.0,1.2
2023-02-16,75.69,75.8,76.52,75.66,7800000.0,-1.62
2023-02-17,76.07,75.7,76.48,75.38,9440000.0,0.5
2023-02-21,73.66,75.44,75.53,73.61,11920000.0,-3.17
2023-02-22,73.68,73.98,74.74,73.44,9350000.0,0.03
2023-02-23,72.87,74.37,74.37,72.65,9050000.0,-1.1
2023-02-24,72.92,72.12,73.33,71.8,9130000.0,0.07
2023-02-27,71.86,72.97,73.67,71.68,7030000.0,-1.45
2023-02-28,71.03,71.7,71.85,70.8,11280000.0,-1.16
2023-03-01,69.87,70.86,71.04,69.64,11810000.0,-1.63
2023-03-02,72.21,70.36,72.22,70.12,16070000.0,3.35
2023-03-03,73.83,72.89,73.87,72.18,10720000.0,2.24
2023-03-06,74.4,73.54,74.6,73.41,6890000.0,0.77
2023-03-07,73.75,73.94,74.49,73.02,7310000.0,-0.87
2023-03-08,74.25,73.38,74.38,73.04,5910000.0,0.68
2023-03-09,73.76,74.5,74.99,73.39,7680000.0,-0.66
2023-03-10,73.01,73.99,74.27,72.37,10170000.0,-1.02
2023-03-13,73.29,73.06,75.18,73.0,8390000.0,0.38
2023-03-14,74.55,73.99,74.85,73.43,8640000.0,1.72
2023-03-15,75.52,74.45,75.85,73.93,12030000.0,1.3
2023-03-16,76.23,75.66,76.51,74.83,8900000.0,0.94
2023-03-17,75.67,76.29,76.29,74.74,14140000.0,-0.73
2023-03-20,75.97,75.6,77.0,75.31,7140000.0,0.4
2023-03-21,75.36,76.35,76.35,74.27,6220000.0,-0.8
2023-03-22,74.13,75.31,75.98,74.09,7040000.0,-1.63
2023-03-23,73.81,73.77,75.72,73.37,7540000.0,-0.43
2023-03-24,75.69,73.99,75.75,73.71,5290000.0,2.55
2023-03-27,75.44,75.87,76.06,74.95,5520000.0,-0.33
2023-03-28,75.24,75.5,76.25,74.82,5940000.0,-0.27
2023-03-29,76.11,75.47,76.31,75.47,5680000.0,1.16
2023-03-30,76.59,76.36,77.02,76.17,6190000.0,0.63
2023-03-31,77.08,76.76,77.12,75.98,10120000.0,0.64
2023-04-03,76.67,77.05,77.05,75.8,5780000.0,-0.53
2023-04-04,77.16,76.85,77.68,76.43,6170000.0,0.64
2023-04-05,78.33,77.9,78.95,77.74,8199999.999999999,1.52
2023-04-06,78.97,78.8,79.0,77.96,5430000.0,0.82
2023-04-10,78.43,78.35,78.5,77.31,5650000.0,-0.68
2023-04-11,78.34,78.39,78.61,77.9,6020000.0,-0.11
2023-04-12,78.59,78.69,79.44,78.25,6790000.0,0.32
2023-04-13,78.85,78.42,79.11,77.48,4930000.0,0.33
2023-04-14,78.02,78.39,78.47,77.56,4920000.0,-1.05
2023-04-17,78.54,78.18,78.55,77.79,4390000.0,0.67
2023-04-18,78.3,78.73,79.07,77.94,8150000.0,-0.31
2023-04-19,78.94,78.31,79.17,78.29,3810000.0,0.82
2023-04-20,78.75,78.72,79.1,78.23,4350000.0,-0.24
2023-04-21,78.99,79.44,79.78,78.56,5190000.0,0.3
2023-04-24,79.04,78.51,79.25,78.5,5730000.0,0.06
2023-04-25,77.82,77.73,79.1,77.5,8400000.0,-1.54
2023-04-26,74.07,76.78,76.95,74.03,12660000.0,-4.82
2023-04-27,75.85,74.31,76.52,73.91,8160000.0,2.4
2023-04-28,76.63,75.41,76.7,75.41,10010000.0,1.03
2023-05-01,76.8,76.47,77.38,76.36,5210000.0,0.22
2023-05-02,75.94,76.66,77.02,75.51,7670000.0,-1.12
2023-05-03,75.39,76.26,76.56,75.27,6270000.0,-0.72
2023-05-04,75.51,75.38,75.67,74.56,6040000.0,0.16
2023-05-05,75.51,75.61,76.57,75.18,6220000.0,0.0
2023-05-08,76.06,75.53,76.68,75.28,6750000.0,0.73
2023-05-09,75.58,76.22,76.22,75.19,5590000.0,-0.63
2023-05-10,76.89,76.13,77.16,75.94,5700000.0,1.73
2023-05-11,76.1,76.59,76.84,75.54,6540000.0,-1.03
2023-05-12,77.96,76.89,77.99,76.57,8320000.0,2.44
2023-05-15,77.54,78.47,78.53,76.82,5430000.0,-0.54
2023-05-16,75.84,77.5,77.5,75.69,6220000.0,-2.19
2023-05-17,75.34,76.17,76.28,75.18,5410000.0,-0.66
2023-05-18,75.1,74.75,75.25,74.21,6970000.0,-0.32
2023-05-19,74.48,75.55,75.78,74.47,6340000.0,-0.83
2023-05-22,74.58,74.91,75.17,74.47,4270000.0,0.13
2023-05-23,74.16,74.1,75.2,73.91,8750000.0,-0.56
2023-05-24,74.24,74.15,74.42,73.66,6880000.0,0.11
2023-05-25,73.39,74.18,74.18,72.47,7720000.0,-1.14
2023-05-26,73.92,73.13,74.56,72.6,7170000.0,0.72
2023-05-30,72.69,74.35,74.75,72.55,6870000.0,-1.66
2023-05-31,73.46,72.64,73.77,71.88,11110000.0,1.06
2023-06-01,72.96,73.05,73.43,72.46,6740000.0,-0.68
2023-06-02,73.85,73.04,74.2,72.52,7180000.0,1.22
2023-06-05,73.59,74.15,74.89,73.33,5570000.0,-0.35
2023-06-06,73.38,73.78,74.15,73.36,5650000.0,-0.29
2023-06-07,74.17,73.64,74.5,73.28,6490000.0,1.08
2023-06-08,74.9,74.48,75.12,74.07,9990000.0,0.98
2023-06-09,74.07,74.86,75.2,74.0,6010000.0,-1.11
